                    ell                       u                       v                       w
 -1.303250713032033E-02   2.704414177296450E-01  -1.852395627017891E+00  -1.047036120990818E+00
 -3.623867683406315E-02   2.318881188653245E-01  -1.818217309965275E+00  -1.123550842682737E+00
 -5.756646612412727E-02   2.015135147083025E-01  -1.764955316976137E+00  -1.187618838171554E+00
 -7.357563302191195E-02   1.838284415754694E-01  -1.693670377274006E+00  -1.231519221995264E+00
 -8.154791210710362E-02   1.810278818751667E-01  -1.611704258601130E+00  -1.249501496783953E+00
 -8.184227341013632E-02   1.898346204071430E-01  -1.528198102711602E+00  -1.244675819766580E+00
 -7.660166175605926E-02   2.050805989748315E-01  -1.447228259876558E+00  -1.224744384100238E+00
 -6.768063479472847E-02   2.229498069078392E-01  -1.369105809362649E+00  -1.195701290835417E+00
 -5.629772052293332E-02   2.409041747535006E-01  -1.293050049964338E+00  -1.161071721341372E+00
 -4.324768904553187E-02   2.570452218010866E-01  -1.218193969738594E+00  -1.122850655635330E+00
 -2.908538788102799E-02   2.697980482513218E-01  -1.143866415387081E+00  -1.082256705936552E+00
 -1.423729044682360E-02   2.778812178739443E-01  -1.069667038429135E+00  -1.040171872259395E+00
  9.319139412618161E-04   2.804345601914422E-01  -9.954542704510920E-01  -9.973722382608196E-01
  1.608036577417523E-02   2.771758998830691E-01  -9.212439858359325E-01  -9.546192251707396E-01
  3.086485846536377E-02   2.684643830123164E-01  -8.470410580346125E-01  -9.126744497431656E-01
  4.491565558904702E-02   2.552209160513405E-01  -7.726759039478431E-01  -8.723198266621414E-01
  5.779482022943036E-02   2.387677531596841E-01  -6.977139842772994E-01  -8.344628036410772E-01
  6.892523286148269E-02   2.207133541301439E-01  -6.214542657338695E-01  -8.003883589493562E-01
  7.747191815862448E-02   2.030107513816740E-01  -5.430189712952379E-01  -7.722309967434748E-01
  8.214847844805939E-02   1.883143641614363E-01  -4.616765650175271E-01  -7.537698700080321E-01
  8.102009315090344E-02   1.806406359695188E-01  -3.780263824971805E-01  -7.513318590971882E-01
  7.201635406360912E-02   1.851871166819496E-01  -2.968176188754466E-01  -7.725098200304781E-01
  5.516545720645826E-02   2.046428943340108E-01  -2.274786628630665E-01  -8.193172555507571E-01
  3.343605427034407E-02   2.362556058282386E-01  -1.765945359928969E-01  -8.852826146183322E-01
  1.019440284097758E-02   2.755417665963919E-01  -1.446529267417044E-01  -9.629172326423950E-01
 -1.213281958667906E-02   3.191744317254119E-01  -1.298350183901720E-01  -1.047397343836048E+00
 -3.190680003012561E-02   3.649295022941040E-01  -1.301800736944230E-01  -1.135644593597483E+00
 -4.805133112203500E-02   4.111707767834333E-01  -1.438674149079426E-01  -1.225314402942032E+00
 -5.997050070983819E-02   4.565948122764026E-01  -1.691057972663193E-01  -1.314440270778827E+00
 -6.749578914147446E-02   5.001657908764984E-01  -2.041089974266979E-01  -1.401426771262609E+00
 -7.079542886059363E-02   5.411046865105260E-01  -2.471826381432291E-01  -1.485109978199460E+00
 -7.025520315783755E-02   5.788610004763695E-01  -2.968331320320561E-01  -1.564753797005437E+00
 -6.636827347881250E-02   6.130519516987364E-01  -3.518262044683770E-01  -1.639962090231704E+00
 -5.966083850055184E-02   6.434010480216789E-01  -4.111961186788846E-01  -1.710577852197333E+00
 -5.065232779790141E-02   6.696758667546916E-01  -4.742149682699117E-01  -1.776576456269817E+00
 -3.984439020185117E-02   6.916398778119739E-01  -5.403480726922923E-01  -1.837985853101078E+00
 -2.772746440934734E-02   7.090133469987798E-01  -6.092081315813653E-01  -1.894827406558168E+00
 -1.479869541345552E-02   7.214390163693414E-01  -6.805108361999073E-01  -1.947069816577472E+00
 -1.588233987134043E-03   7.284489917170727E-01  -7.540279480170194E-01  -1.994587437674024E+00
  1.130711364510509E-02   7.294329517434405E-01  -8.295277433055838E-01  -2.037115744006662E+00
  2.318514267211692E-02   7.236165954018650E-01  -9.066860264917619E-01  -2.074200761639253E+00
  3.320485998085344E-02   7.100787335825615E-01  -9.849463523133600E-01  -2.105150895819422E+00
  4.039064663234055E-02   6.878701569170638E-01  -1.063320037055803E+00  -2.129028047106924E+00
  4.374284631296954E-02   6.563175113814548E-01  -1.140211639045625E+00  -2.144771104520713E+00
  4.251477412336822E-02   6.155004171298309E-01  -1.213489499258193E+00  -2.151536435964505E+00
  3.656773685579434E-02   5.665855758710580E-01  -1.281091188710532E+00  -2.149169062157979E+00
  2.649935959814208E-02   5.115829226204786E-01  -1.341924664342225E+00  -2.138404767816043E+00
  1.339683090134241E-02   4.526610273215045E-01  -1.396334299048165E+00  -2.120582830175097E+00
 -1.522530857772935E-03   3.916528468656098E-01  -1.445885917842851E+00  -2.097201906223894E+00
 -1.710040602961029E-02   3.299939050136656E-01  -1.492957507592381E+00  -2.069713035186653E+00
 -3.220522505314789E-02   2.689597845965456E-01  -1.540478134936451E+00  -2.039649389183280E+00
 -4.553361850229630E-02   2.100228126024638E-01  -1.591794036636052E+00  -2.009077358043222E+00
 -5.530632716360141E-02   1.552390991220931E-01  -1.650229924763525E+00  -1.981347093430242E+00
 -5.914549018746038E-02   1.073251327983766E-01  -1.717540808294423E+00  -1.961564449456738E+00
 -5.490878164833447E-02   6.851407910892832E-02  -1.791593319246545E+00  -1.954741016834326E+00
 -4.218695762635671E-02   3.872683055349071E-02  -1.867128393600565E+00  -1.961785510840265E+00
 -2.221927763179301E-02   1.593679978930839E-02  -1.939883157624137E+00  -1.979313976556161E+00
  3.394363486227892E-03  -1.991990241964352E-03  -2.008097580296631E+00  -2.003142618226740E+00
  3.333666374057016E-02  -1.655524948822210E-02  -2.071496390596522E+00  -2.030198886355196E+00
  6.662366849479827E-02  -2.870069594587800E-02  -2.130361558557163E+00  -2.058594087282926E+00
  1.025279138188338E-01  -3.903872027634275E-02  -2.185137060999758E+00  -2.087246118389425E+00
  1.405060594857490E-01  -4.797971767184736E-02  -2.236279745270046E+00  -2.115558261754575E+00
  1.801476557210721E-01  -5.581241576566267E-02  -2.284211074746473E+00  -2.143215360838055E+00
  2.211393152501403E-01  -6.274762018704391E-02  -2.329303595158940E+00  -2.170063730781038E+00
  2.632392051743805E-01  -6.894381816020118E-02  -2.371880510538827E+00  -2.196041706507264E+00
  3.062586986175301E-01  -7.452297036826321E-02  -2.412220016847185E+00  -2.221139538461936E+00
  3.500490827294601E-01  -7.958072874682208E-02  -2.450561018959736E+00  -2.245376141219324E+00
  3.944918680424592E-01  -8.419331612792158E-02  -2.487108844654095E+00  -2.268785555552990E+00
