x	p10	p18
103.4043	0.157176	0.105647
112.6809	0.137733	0.129412
112.8511	0.137412	0.129827
120.1702	0.125647	0.147059
130.7234	0.109882	0.172144
130.9787	0.109558	0.172706
141.9574	0.099294	0.194353
158.0426	0.086824	0.220357
158.2128	0.0867	0.220471
171.7447	0.078588	0.208471
192.5106	0.069176	0.184
