x	p15	p30
103.1281	0.098382	-0.044575
103.1728	0.098298	-0.044383
112.5942	0.08131	-0.003843
112.6554	0.081214	-0.003578
120.1732	0.071233	0.028874
120.3558	0.070996	0.029651
130.9362	0.057857	0.071605
131.0176	0.057778	0.071885
142.0226	0.051312	0.106884
142.0384	0.051304	0.106939
158.1785	0.042373	0.15544
158.4022	0.042256	0.155717
171.7114	0.03739	0.13983
171.8258	0.037361	0.13964
192.6145	0.0325	0.12094
192.6396	0.032494	0.120924
