x	p10	p18
103.4072	-0.091645	-0.170779
112.6917	-0.072253	-0.14805
112.7768	-0.072088	-0.147844
120.3578	-0.059007	-0.129378
120.4429	-0.058871	-0.129164
130.7496	-0.043628	-0.104101
141.908	-0.032736	-0.083204
141.9932	-0.032664	-0.08305
158.092	-0.019705	-0.053404
158.1772	-0.019642	-0.053248
171.5503	-0.01153	-0.031957
171.8058	-0.011405	-0.031623
192.3339	-0.002144	-0.007202
192.4191	-0.002107	-0.007105
