   s            w
0.000000	0.300016
1.061372	0.300051
2.122744	0.297890
2.678700	0.294225
3.133574	0.292771
3.740072	0.292803
4.397112	0.290621
5.003610	0.289914
5.559567	0.287727
5.711191	0.281084
5.761733	0.275176
5.913357	0.266317
5.963899	0.263364
6.115523	0.254505
6.216606	0.245643
6.317690	0.239737
6.368231	0.235306
6.469314	0.227922
6.570397	0.219061
6.722022	0.208724
6.823105	0.203557
6.924188	0.196173
6.974729	0.188786
7.075812	0.182142
7.176895	0.174019
7.277978	0.165896
7.379061	0.157773
7.530686	0.150392
7.682310	0.142272
7.833935	0.131935
7.985560	0.126032
8.137184	0.122345
8.440433	0.106844
8.642599	0.096510
8.145455	0.105432
7.890909	0.108025
7.483636	0.114074
7.076364	0.120988
6.720000	0.130494
6.363636	0.135679
6.058182	0.147778
5.600000	0.153827
5.396364	0.162469
5.192727	0.171975
4.938182	0.182346
4.785455	0.191852
4.581818	0.203086
4.429091	0.212593
4.276364	0.222963
4.123636	0.235926
4.021818	0.249753
4.021818	0.265309
4.174545	0.263580
4.429091	0.258395
4.836364	0.249753
5.294545	0.241975
5.600000	0.235062
5.905455	0.225556
6.210909	0.220370
6.567273	0.211728
6.720000	0.200494
6.923636	0.190988
7.280000	0.178025
7.534545	0.163333
7.636364	0.161605
7.789091	0.152099
7.890909	0.146049
8.094545	0.134815
8.844765	0.090609
8.945848	0.085442
9.198556	0.080283
9.501805	0.078082
9.805054	0.074404
10.158845	0.069989
10.613718	0.067057
11.018051	0.064862
11.472924	0.062669
11.978339	0.060479
12.483755	0.057550
12.837545	0.056830
13.241877	0.056112
13.646209	0.055395
14.050542	0.054677
13.595668	0.053914
13.039711	0.053146
12.382671	0.053111
11.927798	0.052348
11.220217	0.052311
10.563177	0.051537
10.007220	0.051508
9.299639	0.052210
8.743682	0.053658
8.187726	0.054368
7.581227	0.054336
7.025271	0.056523
6.519856	0.059452
6.519856	0.059452
6.115523	0.063125
5.812274	0.067543
5.660650	0.072707
5.458484	0.079347
5.306859	0.085989
5.205776	0.091895
5.054152	0.100015
4.953069	0.107399
4.851986	0.114783
4.700361	0.129553
4.599278	0.145804
4.548736	0.153190
4.447653	0.161313
4.397112	0.170916
4.194946	0.194551
4.144404	0.201938
3.942238	0.217444
3.841155	0.224828
3.740072	0.233690
3.638989	0.243290
3.537906	0.250674
3.234657	0.264697
2.931408	0.274287
2.324910	0.286078
1.870036	0.291226
1.314079	0.294153
