        s            Sr
0.0983246646347  1.00
0.199911866685  0.996596481633
0.280278057261  0.972285115304
0.392952107768  0.970582444627
0.497811573868  0.867999270805
0.772397164609  0.777611885881
2.9843019816  0.174279464042
5.0385558824  0.118683802753
8.08642966442  0.0804739768481
10.2442974567  0.0718038465044
11.9266895875  0.0596463403518
14.3625880583  0.0579272627837
30.7200121869  0.0319223407164
61.4129498088  0.0285188223498
92.1214122052  0.0250843131893
4563.82665437  0.00463585817154
39011.708329  0.00312824719716
89275.8004168  0.00321757360314
153297.330155  0.0032759092152
296277.119197  0.00160787530763
1000000  0
