            s              Sr
6.04099244876  0.998170395722
15.4800431499  0.990927646233
37.0010787487  0.992615616245
59.2772384035  0.978112655507
70.6040992449  0.963665960436
81.5533980583  0.877278759517
92.5026968716  0.760316019029
103.829557713  0.637955654894
120.442286947  0.544345106439
142.340884574  0.472290129062
160.46386192  0.429031532056
181.607335491  0.396548780393
201.995685005  0.365868470272
240.884573894  0.322503162519
276.752966559  0.309728915896
308.090614887  0.286186584713
